node1	node2	ENSP_1	ENSP_2	experimentally_determined_interaction
BRCA1	CSTF1	ENSP00000418960	ENSP00000217109	0.51
BRCA1	SETX	ENSP00000418960	ENSP00000224140	0.772
BRCA1	MLH1	ENSP00000418960	ENSP00000231790	0.835
BRCA1	MSH2	ENSP00000418960	ENSP00000233146	0.725
BRCA1	MSH6	ENSP00000418960	ENSP00000234420	0.611
BRCA1	ZNF350	ENSP00000418960	ENSP00000243644	0.786
BRCA1	BRIP1	ENSP00000418960	ENSP00000259008	0.999
BRCA1	TOPBP1	ENSP00000418960	ENSP00000260810	0.994
BRCA1	BARD1	ENSP00000418960	ENSP00000260947	0.999
BRCA1	PALB2	ENSP00000418960	ENSP00000261584	0.944
BRCA1	EP300	ENSP00000418960	ENSP00000263253	0.82
BRCA1	NBN	ENSP00000418960	ENSP00000265433	0.868
BRCA1	CDK2	ENSP00000418960	ENSP00000266970	0.735
BRCA1	TP53	ENSP00000418960	ENSP00000269305	0.895
BRCA1	ATM	ENSP00000418960	ENSP00000278616	0.847
BRCA1	FANCD2	ENSP00000418960	ENSP00000287647	0.779
BRCA1	WRN	ENSP00000418960	ENSP00000298139	0.702
BRCA1	RNF168	ENSP00000418960	ENSP00000320898	0.596
BRCA1	MRE11	ENSP00000418960	ENSP00000325863	0.994
BRCA1	BABAM2	ENSP00000418960	ENSP00000343412	0.783
BRCA1	ATR	ENSP00000418960	ENSP00000343741	0.838
BRCA1	SMARCA4	ENSP00000418960	ENSP00000343896	0.628
BRCA1	BLM	ENSP00000418960	ENSP00000347232	0.691
BRCA1	UBE2D3	ENSP00000418960	ENSP00000349722	0.975
BRCA1	BABAM1	ENSP00000418960	ENSP00000352408	0.994
BRCA1	PARP1	ENSP00000418960	ENSP00000355759	0.596
BRCA1	DHX9	ENSP00000418960	ENSP00000356520	0.51
BRCA1	BRCC3	ENSP00000418960	ENSP00000358474	0.85
BRCA1	MDC1	ENSP00000418960	ENSP00000365588	0.833
BRCA1	RAD50	ENSP00000418960	ENSP00000368100	0.994
BRCA1	BRCA2	ENSP00000418960	ENSP00000369497	0.896
BRCA1	ABRAXAS1	ENSP00000418960	ENSP00000369857	0.994
BRCA1	TP53BP1	ENSP00000418960	ENSP00000371475	0.826
BRCA1	CHEK2	ENSP00000418960	ENSP00000372023	0.842
BRCA1	FANCA	ENSP00000418960	ENSP00000373952	0.702
BRCA1	RBBP8	ENSP00000418960	ENSP00000382628	0.999
BRCA1	CHEK1	ENSP00000418960	ENSP00000391090	0.676
BRCA1	ESR1	ENSP00000418960	ENSP00000405330	0.904
BRCA1	AKT1	ENSP00000418960	ENSP00000451828	0.735
BRCA1	ACACA	ENSP00000418960	ENSP00000483300	0.986
BRCA1	H2AX	ENSP00000418960	ENSP00000434024	0.9
BRCA1	MYC	ENSP00000418960	ENSP00000478887	0.825
BRCA1	UIMC1	ENSP00000418960	ENSP00000421926	0.994
BRCA1	RAD51	ENSP00000418960	ENSP00000493712	0.923
