Name,,Sample,Expression
ENSG00000143514.17,,GTEX.111CU.0326.SM.5GZXO,45.5237
ENSG00000143514.17,,GTEX.111FC.1126.SM.5GZWU,24.0082
ENSG00000143514.17,,GTEX.111VG.0726.SM.5GIDC,81.612
ENSG00000143514.17,,GTEX.111YS.0626.SM.5GZXV,39.9502
ENSG00000143514.17,,GTEX.1122O.0126.SM.5GICA,30.4007
ENSG00000143514.17,,GTEX.1128S.0726.SM.5N9D6,29.2681
ENSG00000143514.17,,GTEX.117YW.0526.SM.5H11C,25.7104
ENSG00000143514.17,,GTEX.117YX.1326.SM.5H125,38.5307
ENSG00000143514.17,,GTEX.11DXX.0626.SM.5Q5AG,30.7417
ENSG00000143514.17,,GTEX.11DXZ.0726.SM.5N9C4,25.6791
ENSG00000143514.17,,GTEX.11DYG.0626.SM.GINAE,24.796
ENSG00000143514.17,,GTEX.11DZ1.0426.SM.5H11A,26.6976
ENSG00000143514.17,,GTEX.11EI6.0826.SM.5985V,26.8932
ENSG00000143514.17,,GTEX.11EMC.0126.SM.5EGKV,40.2986
ENSG00000143514.17,,GTEX.11EQ9.0226.SM.5A5JX,36.7555
ENSG00000143514.17,,GTEX.11GSP.0726.SM.5986L,111.709
ENSG00000143514.17,,GTEX.11I78.0126.SM.5HL6F,20.2741
ENSG00000143514.17,,GTEX.11LCK.0426.SM.5A5M8,42.4146
ENSG00000143514.17,,GTEX.11NSD.0326.SM.5A5LS,34.639
ENSG00000143514.17,,GTEX.11NUK.0826.SM.5HL4U,26.62
ENSG00000143514.17,,GTEX.11NV4.1126.SM.5HL6J,75.8605
ENSG00000143514.17,,GTEX.11O72.1326.SM.5BC5A,59.5936
ENSG00000143514.17,,GTEX.11OF3.1126.SM.5986C,96.6073
ENSG00000143514.17,,GTEX.11P7K.0326.SM.59871,27.9851
ENSG00000143514.17,,GTEX.11P81.0226.SM.5HL5M,27.2249
ENSG00000143514.17,,GTEX.11PRG.0926.SM.5EGI8,34.932
ENSG00000143514.17,,GTEX.11TT1.1626.SM.5EQL7,43.2787
ENSG00000143514.17,,GTEX.11TUW.0526.SM.5LU9A,25.6274
ENSG00000143514.17,,GTEX.11UD2.0726.SM.5EQ69,24.2248
ENSG00000143514.17,,GTEX.11WQC.0626.SM.5EQMF,46.939
ENSG00000143514.17,,GTEX.11WQK.1226.SM.5GU5Z,45.1146
ENSG00000143514.17,,GTEX.11XUK.0326.SM.HAV26,34.6956
ENSG00000143514.17,,GTEX.11ZTS.1226.SM.5EQMQ,40.8542
ENSG00000143514.17,,GTEX.11ZTT.0626.SM.5EQLM,33.2226
ENSG00000143514.17,,GTEX.11ZUS.0126.SM.5EQM5,24.6826
ENSG00000143514.17,,GTEX.11ZVC.0226.SM.731E8,45.4735
ENSG00000143514.17,,GTEX.1211K.0826.SM.5FQUP,41.3192
ENSG00000143514.17,,GTEX.1212Z.1026.SM.5EGJ8,26.8999
